Mahasiswa,Timestamp,passion,pengetahuan_sebelumnya,tim,skill,motivasi,komunitas_diikuti,Rating [MOCAP],Rating  [WEBONDER],Rating[UINUX],Rating [MAMUD],Rating[ETH0],Rating [UINBUNTU],Rating [FUN JAVA],Rating[GDSC],Rating  [DSE],Rating [ONTAKI],Email Address
Mahasiswa 40,10/13/2023 4:11:43,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma",Memperluas networking,DSE,3.0,5.0,2.0,5.0,2.0,3.0,1.0,5.0,4.0,4.0,
Mahasiswa 18,2/8/2024 17:22:54,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, C#, Figma, Unity, Blender, Kotlin",Mencari ilmu baru,"MOCAP, UINBUNTU, ONTAKI",2.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,4.0,4.0,
Mahasiswa 23,2/5/2024 16:58:01,UI/UX,",",Tim Kecil: Lebih ke proyek-proyek tertentu,"Python, Golang",Menambah ilmu,"WEBONDER, ETH0, ONTAKI",3.0,4.0,2.0,3.0,3.0,5.0,1.0,4.0,3.0,3.0,
Mahasiswa 45,2/6/2024 13:14:22,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","C++, C#, Figma, Ubuntu, Cloud, Linux, Golang","Selain mengisi waktu luang, juga ingin menambah pengetahuan tentang teknologi yang terkait dengan komunitas tsb.",ONTAKI,3.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,
Mahasiswa 9,10/12/2023 23:33:04,Jaringan,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","Kotlin, Dart, Python",Untuk mendapatkan lebih banyak ilmu dari komunitas tersebut sehingga dapat menambah pengetahuan dalam bidang yang saya minati,ETH0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,
Mahasiswa 2,2/5/2024 17:20:34,Pemograman Mobile,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Ingin menambah ilmu mengenai bidang yang saya tekuni ,"MOCAP, MAMUD, GDSC, ONTAKI",5.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,3.0,3.0,
Mahasiswa 7,2/5/2024 16:59:16,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Linux","Tim Besar: membuat kegiatan seperti seminar, workshop dll",HTML,"Untuk menambah pengalaman dan relasi, menambah ilmu","WEBONDER, ETH0, ONTAKI",3.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,
Mahasiswa 33,10/12/2023 23:33:04,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud",Menekuni bakat dan minat,"MOCAP, GDSC, DSE, ONTAKI",2.0,4.0,3.0,1.0,5.0,3.0,2.0,1.0,4.0,2.0,
Mahasiswa 23,2/5/2024 19:30:29,Robotik,"Pemograman Mobile, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,
Mahasiswa 24,2/6/2024 11:56:37,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Java, C++, C#, Blender",Untuk mendapatkan lebih banyak ilmu dari komunitas tersebut sehingga dapat menambah pengetahuan dalam bidang yang saya minati,"MOCAP, WEBONDER, DSE",4.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,
